t,OF,Pcc,Tcc,Pe,Te,thrust,Isp,x,y,u,v,Ax,Ay,m_ox,n_ox,T_ox,P_ox,mdot_ox,rho_ox,m_f,n_f,T_f,P_f,mdot_f,rho_f,t_burn,Pcc_nominal,mdot_ox_nominal,OF_nominal,diameter,injector_Cd,dt,gamma,specific_gas_const,gas_const,
1.357575758,2.987706103,348.5342342,2759.656294,85612.67553,1432.370807,2098.917325,228.4466284,2.160328314,31.44992411,2.887765665,42.04283797,2.171348962,31.61007936,5.855972078,0.133050964,276.8141855,3787357.278,0.796721627,891.1921872,1.975148515,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
1.442424242,2.987883298,348.5531272,2759.746644,85618.17112,1432.44105,2099.174623,228.4487376,2.423019145,35.27435984,3.068284895,44.67047049,2.170528841,31.59415293,5.78448632,0.131426768,276.7361676,3786881.609,0.796768879,891.6550969,1.952970297,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
1.527272727,2.988853119,348.6565279,2760.261706,85648.44939,1432.841827,2100.031153,228.4607641,2.700720902,39.31727587,3.248783654,47.29765832,2.170282686,31.58880603,5.713000662,0.129802573,276.6576521,3787131.973,0.797027498,892.1264663,1.930792079,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
1.612121212,2.989180598,348.6914414,2760.436772,85658.41253,1432.978162,2100.416083,228.4648525,2.993426154,43.57852495,3.429216016,49.92351765,2.169484363,31.57283243,5.641530619,0.128178734,276.5786524,3786788.677,0.797114826,892.5946151,1.908613861,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
1.696969697,2.990211949,348.8013916,2760.983176,85690.46261,1433.403609,2101.332951,228.4776075,3.301134322,48.05808763,3.609621608,52.5487782,2.169162476,31.56563282,5.57005953,0.126554871,276.4991404,3787089.312,0.797389853,893.0705209,1.886435644,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
1.781818182,2.990639494,348.8469688,2761.211179,85703.86292,1433.581195,2101.808474,228.4829289,3.623837642,52.75580736,3.789956034,55.1725842,2.168306785,31.5481436,5.498601983,0.124931315,276.4191283,3786831.861,0.797503865,893.5436201,1.864257426,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
1.866666667,2.991699973,348.9600122,2761.772925,85736.80228,1434.018896,2102.762132,228.4960379,3.961534765,57.67164725,3.970255935,57.79560968,2.167891663,31.53875876,5.427143031,0.123307728,276.3385897,3787152.746,0.79778666,894.0239257,1.842079208,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
1.951515152,2.992191755,349.0124313,2762.03245,85751.97255,1434.221197,2103.299391,228.5020933,4.314217651,62.80544249,4.150479877,60.417054,2.16697835,31.51974718,5.35569642,0.121684421,276.2575355,3786947.938,0.797917801,894.5018047,1.81990099,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.036363636,2.992177184,349.0108783,2762.027158,85751.67795,1434.217069,2103.468659,228.5019698,4.681875432,68.15697183,4.330591372,63.03619762,2.165626307,31.49208398,5.284274393,0.120061673,276.1759753,3786275.259,0.797913916,894.977734,1.797722772,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.121212121,2.992753485,349.0723041,2762.328979,85769.45113,1434.452369,2104.083272,228.5090109,5.064503035,73.7261213,4.510624735,65.65366082,2.164686869,31.47187889,5.212863018,0.118439166,276.0938833,3786142.037,0.798067596,895.4605044,1.775544554,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.206060606,2.992844129,349.0819652,2762.376646,85772.34783,1434.489517,2104.345039,228.5101225,5.462089566,79.5126646,4.690544729,68.26874995,2.163323735,31.44333367,5.141474043,0.116817169,276.011268,3785560.131,0.798091768,895.9415898,1.753366337,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.290909091,2.993473213,349.1490136,2762.710056,85791.89028,1434.749551,2105.015102,228.5178997,5.874629463,85.51647412,4.870382332,70.88202471,2.162333091,31.4215179,5.070094802,0.115195392,275.928105,3785469.036,0.798259524,896.4291347,1.731188119,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.375757576,2.993636639,349.1664312,2762.799934,85796.89934,1434.819719,2105.346367,228.5199971,6.302111619,91.73731531,5.050103459,73.49281454,2.160932593,31.3916397,4.998736565,0.113574093,275.8444019,3784947.784,0.798303104,896.91525,1.709009901,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
